S1,S1Ampli,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,impacted,uplifted,runFailed
1.132083333333333,1.3864583333333331,2.82375,0.17858333333333334,0.05583066438544909,35.325,1.1697916666666668,1.80875,RSN1089_NORTHR_TPF360,25.958283696404504,0.13749077869522655,0.13749077869522655,56.520000000000024,56.520000000000024,W24X68,W21X44,W14X159,26.0,0.9203762997694767,2.070549409445717,3.398422605562065,0.5467550439360875,0.33312023392279017,0.9211751793234405,2.05028596448277,0.547785413871218,0.4438919324280935,0.5674749386926717,28.0879,0.045269871794871776,0.054023717948717936,0.05617564102564101,0,1,1,1,1,1,1,1,0
1.2345833333333334,1.4572916666666669,3.34875,0.11725,0.0238863119526658,31.125000000000004,2.1052083333333336,0.69875,RSN5267_CHUETSU_NIG021NS,15.693440799276448,0.0872994316178802,0.0872994316178802,68.47500000000004,68.47500000000004,W30X90,W18X50,W14X257,69.0,0.7141922414784926,2.1493880941257664,3.740609114835657,0.5743882813473399,0.3300487421786049,1.0380790177238555,2.189793677991519,0.8752082369682237,0.5433232497619421,0.6959064764377384,58.1333,0.013664102564102557,0.015010256410256408,0.011408333333333322,0,0,0,0,1,0,0,1,0
1.0395833333333333,1.8697916666666663,3.1637500000000003,0.18958333333333333,0.05163270982317093,39.375,1.0510416666666669,0.53875,RSN4854_CHUETSU_65020NS,17.55510357570732,0.09093749447400762,0.09093749447400762,70.87500000000003,70.87500000000003,W30X90,W21X55,W14X283,24.0,0.6824075462209099,1.8648238252226987,3.805597413746174,0.5574699975796296,0.27317217779743624,1.1067333808749016,2.038907661124448,1.3516717725838456,0.37736873105754115,0.5377682988456024,26.9696,0.08936858974358974,0.09372820512820511,0.09860705128205129,1,1,1,1,1,1,1,1,0
1.0404166666666668,1.9010416666666667,3.98625,0.10375,0.0013227105411835402,29.625,1.9302083333333333,1.81625,RSN4040_BAM_BAM-L,2.1593404115580954,0.055724305605159646,0.055724305605159646,94.80000000000005,94.80000000000005,W24X55,W18X35,W14X120,65.0,1.088873719629958,2.4310224579188646,4.4012949751225205,0.4279749301688231,0.23638876115948224,1.1221108072323844,2.2872359847942705,0.9132699860895941,0.22246358424349133,0.2831257549394335,42.5705,0.023110256410256432,0.027241025641025648,0.01968846153846152,0,0,0,1,1,1,0,1,0
0.9029166666666668,1.021875,3.57375,0.14875000000000002,0.017968698801575693,35.175000000000004,1.9322916666666667,1.63125,RSN3760_LANDERS_BLC360,10.238752306288937,0.0706930859898708,0.0706930859898708,84.42000000000006,84.42000000000006,W21X55,W18X35,W14X120,46.0,1.1290468793829067,2.3153180657920713,4.153354311898383,0.3899752176631415,0.2173945680675552,0.5450925057257189,0.8113986974058475,0.3392236733680051,0.28558463827338715,0.22637963131238886,28.7945,0.015933974358974368,0.018239102564102553,0.01235576923076922,0,0,0,1,1,0,0,1,0
1.0270833333333331,1.3072916666666667,2.75375,0.19641666666666668,0.06374533932237868,22.475,1.7489583333333334,0.93375,RSN1089_NORTHR_TPF360,22.353044812598444,0.08842230440730484,0.08842230440730484,53.94000000000003,53.94000000000003,W24X84,W21X44,W14X211,33.0,0.8144573823705895,1.1321164902461158,3.3199517987557123,0.9072240729485805,0.309366941326761,0.7932369606748059,1.7655302091128982,1.5501528155527977,0.39299848364101786,0.5117759814396217,24.5356,0.010728846153846155,0.012221794871794879,0.009647371794871797,0,0,0,0,0,0,0,1,0
0.97875,1.934375,3.80875,0.10541666666666667,0.007580234787543459,34.775,1.0572916666666667,1.98625,RSN522_PALMSPR_INO225,29.82987033182091,0.05953174594961444,0.05953174594961444,86.93750000000004,86.93750000000004,W21X55,W18X35,W14X120,32.0,1.1290468792252735,2.490202467839353,4.214828237647623,0.3930403301098731,0.2322158685513266,1.0830576213864735,2.0960000150472426,0.9441613509368011,0.2807778143612634,0.2636419982795218,33.3276,0.045202564102564104,0.05513076923076923,0.05310897435897438,0,1,1,1,1,1,1,1,0
0.8954166666666667,1.5447916666666668,2.94125,0.19175000000000006,0.04553710078202054,36.825,1.9364583333333332,1.84625,RSN82_SFERN_PHN180,17.813150818164353,0.09718872302901402,0.09718872302901402,62.60250000000003,62.60250000000003,W24X55,W18X40,W14X120,34.0,1.0740724103855162,1.999777741637028,3.576614605983558,0.44775809232363706,0.25035313146925703,0.8169337128401695,1.032326776285636,0.9013585216655723,0.7204362053474006,0.788523870112463,35.6649,0.08796346153846156,0.09847051282051279,0.0975288461538462,1,1,1,1,1,1,1,1,0
0.8079166666666667,1.1427083333333332,2.73625,0.19791666666666669,0.056282660124094046,44.925,1.984375,0.99375,RSN36_BORREGO_A-ELC180,4.217135995220007,0.09851335930201105,0.09851335930201105,53.910000000000004,53.910000000000004,W24X68,W18X40,W14X159,29.0,0.941522150624826,1.9837499174916566,3.319028435701069,0.40726739774146187,0.24341962785745547,0.5454145621240952,0.7692751882720504,0.7432373730916443,0.2773946813803292,0.42047824250997184,21.7157,0.013962179487179491,0.01743653846153845,0.014472435897435897,0,0,0,0,1,0,0,1,0
1.1395833333333334,1.0239583333333333,3.56625,0.19858333333333333,0.04371897596278008,42.375,1.1635416666666667,0.7737499999999999,RSN121_FRIULI.A_A-BCS000,61.93887495943858,0.09374416749002239,0.09374416749002239,93.22500000000005,93.22500000000005,W24X84,W21X44,W14X211,31.0,0.8144573823184635,2.1495790197056293,4.364580453138225,0.5301425641423463,0.26109802432761875,0.689371208055088,1.1712288203242567,0.47781588992425655,0.35705526178517766,0.5030468238668862,32.4291,0.031857051282051255,0.03780320512820513,0.04119551282051285,0,0,0,1,1,1,1,1,0
