S1,S1Ampli,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,impacted,uplifted,runFailed,GMSTfb,GmSavgTm,IPTm,PGV,PGA,FIV3Tm,Magnitude,Rjb,Duration595,Arias
1.137916666666667,1.0135416666666666,2.71625,0.15575000000000006,0.06694972930058543,28.175,1.4260416666666669,1.67375,RSN5818_IWATE_48A61NS,2.5622288790961427,0.08753706524153831,0.08753706524153831,47.89750000000002,47.89750000000002,W24X68,W21X44,W14X159,32.0,0.9203762998142968,1.163623153463867,3.12847529920678,0.977908237112095,0.3637288320464553,0.6813603115598026,0.7778012161226052,0.6739466400027794,0.470485218347361,0.4271449279383577,17.1858,0.014233974358974343,0.017814743589743588,0.012690384615384622,0,0,0,0,1,0,0,1,0,0.8837747672366486,0.7283987763150633,393.4915248636917,33.08642766859114,1.0139585210113538,131.58977735113055,6.9,12.83,15.1,7.3
0.9895833333333334,1.1864583333333334,2.58875,0.17675000000000002,0.03689967265365923,19.725,1.359375,0.6012500000000001,RSN3753_LANDERS_FVR045,8.611953408743974,0.11440136820410032,0.11440136820410032,47.34000000000002,47.34000000000002,W30X99,W21X55,W14X311,24.0,0.6525189753234187,1.6524366012150848,3.110215161509148,0.5988631168092403,0.31817198552050163,0.6936328142183183,2.067109091598657,0.548235792189593,0.16560793360925385,0.24448219510612945,9.3669,0.005610320512820508,0.007967564102564096,0.00707948717948718,0,0,0,0,0,0,0,1,0,6.196831090571263,0.8415025023671854,1337.5528738004334,52.8627359151244,1.2536463636875643,137.05145636730134,7.28,25.02,29.6,1.2
0.92625,1.5427083333333331,2.94875,0.17641666666666667,0.03183234659059559,25.425,1.6989583333333331,1.55125,RSN930_BIGBEAR_SB2270,13.274909751504055,0.0912889784821776,0.0912889784821776,61.02000000000003,61.02000000000003,W24X55,W18X40,W14X132,32.0,1.0535045814766606,1.839491418905776,3.5311194494586537,0.5035359178522189,0.26231058259498996,0.8431184029234028,1.4190997998545605,1.02855118297381,0.2173937271127916,0.3487677927809805,23.3966,0.017853846153846175,0.0212551282051282,0.015075000000000009,0,0,0,1,1,1,0,1,0,1.5886004032078136,0.8431184029234026,874.5719065306301,36.048427111612504,1.47770852640745,152.26557679652885,6.46,33.56,22.0,0.2
1.1195833333333334,1.6927083333333337,3.92125,0.14975000000000002,0.02381086677513336,44.02500000000001,1.971875,1.81875,RSN1148_KOCAELI_ARE000,17.35440751709188,0.07785059026336727,0.07785059026336727,101.25750000000008,101.25750000000008,W24X55,W18X35,W14X120,63.0,1.0888737198456289,2.4989156322935457,4.5487273665434085,0.4480276640255203,0.24613111385132505,1.0839330985373294,2.0240514904814324,0.5874076509922446,0.3962337932121341,0.5292017983205317,64.2053,0.059976282051282026,0.06914871794871794,0.0696282051282051,1,1,1,1,1,1,1,1,0,1.848366943400604,0.8376163904833005,3645.1429903401095,65.44368721040603,2.797679739659858,286.7651241659185,7.51,10.56,11.1,0.3
0.9745833333333334,1.059375,3.06125,0.12091666666666667,0.04044508521284768,35.475,2.096875,1.38125,RSN4224_NIIGATA_NIGH07NS,72.38885803784024,0.06168659358336748,0.06168659358336748,56.76000000000002,56.76000000000002,W24X62,W18X40,W14X145,49.0,0.9978076957549508,1.5799188896380696,3.4056302968095715,0.6168565612609345,0.286168270891392,0.6099489206777542,0.8516418848207437,0.4994112121628098,0.35706806902182503,0.4521143582253446,26.4499,0.01638461538461539,0.019351282051282063,0.013832051282051294,0,0,0,1,1,0,0,1,0,0.8505794625069446,0.5893037011458793,942.8368833484938,86.29979524337816,6.0952453628531424,138.36317112075906,6.63,40.76,15.5,0.1
1.0554166666666671,1.396875,2.89625,0.10391666666666667,0.04308113293756523,37.825,1.5510416666666669,0.83875,RSN930_BIGBEAR_SB2270,13.683648897782204,0.07164092637679953,0.07164092637679953,49.17250000000002,49.17250000000002,W27X84,W21X44,W14X211,39.0,0.7835943510992386,1.7553459039520514,3.16984080565246,0.6012585122342339,0.3329557322830371,0.8690783154706999,1.462794382456926,1.0913261422929252,0.3388261045684771,0.3935009804206057,24.4416,0.0112628205128205,0.013612179487179486,0.010717307692307698,0,0,0,0,0,0,0,1,0,1.9574062049656733,0.910701447518542,945.6783161597052,37.15837087756551,1.5232076923406337,156.28986898186741,6.46,33.56,22.0,0.2
0.8045833333333334,1.8822916666666667,3.91625,0.15158333333333335,0.014510024400151013,44.72500000000001,1.0427083333333331,0.68125,RSN522_PALMSPR_INO225,24.554064568001472,0.0613762893109798,0.0613762893109798,102.86750000000008,102.86750000000008,W24X68,W18X40,W14X193,24.0,0.9043095753858592,2.6416868802536846,4.584747263318946,0.3045718019601431,0.17549131655970218,0.8915046049670916,1.7252947844396629,0.7690331054768947,0.199000726309382,0.2278908065497925,25.1285,0.024852564102564097,0.03139679487179487,0.03297243589743587,0,0,0,1,1,1,1,1,0,1.8291611377389665,0.6604613982550643,738.9045828518911,53.84203327823185,1.4626259599389475,129.47562903829126,6.06,35.34,18.5,0.2
0.93125,1.7239583333333337,2.81375,0.11708333333333334,0.020784090691397764,29.275,1.4510416666666668,1.56125,RSN5804_IWATE_55446NS,11.657582445538695,0.11257808203130552,0.11257808203130552,49.76750000000001,49.76750000000001,W24X62,W18X40,W14X145,30.0,0.9978076956164256,2.208538444456916,3.1889610873106085,0.4216589493097985,0.29202300514283297,0.9401946252888356,1.5662311743054604,0.5592905963766193,0.6510589464009987,0.6423843382071628,31.4781,0.05800320512820512,0.0681801282051282,0.07397051282051283,1,1,1,1,1,1,1,1,0,1.5745130123692956,0.9701689276041836,965.7360015573804,59.10715387685745,3.406241838102641,164.07184224211989,6.9,25.61,9.9,1.0
1.0354166666666669,1.446875,3.65125,0.13258333333333333,0.009591681258677778,31.675,1.471875,1.11625,RSN1148_KOCAELI_ARE000,14.12850731109734,0.0766550557371666,0.0766550557371666,85.52250000000005,85.52250000000005,W21X68,W16X40,W14X145,42.0,1.016098608254668,2.379616208420547,4.180387121840587,0.4351191856076309,0.24768439775758905,0.8824476832379534,1.6478134590962068,0.44607396801653176,0.3608362400650564,0.5177662303485188,44.6547,0.08453269230769234,0.1004455128205128,0.11914166666666673,1,1,1,1,1,1,1,1,0,1.6219053911771175,0.7217053509414836,2461.950876533236,53.27877729658904,2.277636883711766,188.58348119557888,7.51,10.56,11.1,0.3
1.0004166666666667,1.1885416666666666,3.65625,0.12825,0.03067225404034604,31.625,1.140625,1.60375,RSN8597_SIERRA.MEX_CISWSHNN,22.109781873339863,0.05155613158933295,0.05155613158933295,82.22500000000005,82.22500000000005,W24X55,W18X35,W14X120,32.0,1.0888737199077363,1.6179197694636058,4.099003115386685,0.6183351520566055,0.2440634072492749,0.7024575697967621,1.2802673615713824,0.5910751545024979,0.3234734763187494,0.3861932113059611,32.3792,0.021916025641025644,0.023927564102564063,0.020022435897435898,0,0,0,1,1,1,1,1,0,1.3729190482107596,0.5661970878075805,2839.2715155686674,79.33654069572873,1.3631024332022157,316.3939749052769,7.2,31.79,29.7,0.1
